"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.472,0.488,3,-9.836,0,0.0869,0.299,0.00526,0.164,0.328,96.539,"3CAUdHOsgijdnNsjO7o7Hd","https://api.spotify.com/v1/audio-analysis/3CAUdHOsgijdnNsjO7o7Hd",4,1,264501,FALSE,"https://api.spotify.com/v1/tracks/3CAUdHOsgijdnNsjO7o7Hd",FALSE,"WE ARE",NA,1,"track","spotify:track:3CAUdHOsgijdnNsjO7o7Hd","https://open.spotify.com/track/3CAUdHOsgijdnNsjO7o7Hd","WE ARE","D#","minor","D# minor","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.669,0.622,10,-4.749,1,0.0733,0.0796,0.00422,0.208,0.755,111.186,"0LEuShf2si8SAIZaTs1nz4","https://api.spotify.com/v1/audio-analysis/0LEuShf2si8SAIZaTs1nz4",4,1,201454,FALSE,"https://api.spotify.com/v1/tracks/0LEuShf2si8SAIZaTs1nz4",FALSE,"TELL THE TRUTH",NA,2,"track","spotify:track:0LEuShf2si8SAIZaTs1nz4","https://open.spotify.com/track/0LEuShf2si8SAIZaTs1nz4","WE ARE","A#","major","A# major","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.738,0.507,9,-6.991,0,0.0272,0.231,0.0014,0.0722,0.699,80.026,"4fwCa8XejynU81AhXovR9r","https://api.spotify.com/v1/audio-analysis/4fwCa8XejynU81AhXovR9r",4,1,237244,FALSE,"https://api.spotify.com/v1/tracks/4fwCa8XejynU81AhXovR9r",FALSE,"CRY",NA,3,"track","spotify:track:4fwCa8XejynU81AhXovR9r","https://open.spotify.com/track/4fwCa8XejynU81AhXovR9r","WE ARE","A","minor","A minor","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.817,0.639,6,-6.383,1,0.164,0.0165,0,0.138,0.887,112.951,"0RDUnNaGubiseI1W9T3YTf","https://api.spotify.com/v1/audio-analysis/0RDUnNaGubiseI1W9T3YTf",4,1,157133,FALSE,"https://api.spotify.com/v1/tracks/0RDUnNaGubiseI1W9T3YTf",FALSE,"I NEED YOU",NA,4,"track","spotify:track:0RDUnNaGubiseI1W9T3YTf","https://open.spotify.com/track/0RDUnNaGubiseI1W9T3YTf","WE ARE","F#","major","F# major","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.44,0.616,1,-8.722,0,0.0432,0.181,1e-04,0.103,0.826,170.503,"5pY66RyREZHbqP7zz9dxVU","https://api.spotify.com/v1/audio-analysis/5pY66RyREZHbqP7zz9dxVU",4,1,141710,FALSE,"https://api.spotify.com/v1/tracks/5pY66RyREZHbqP7zz9dxVU",FALSE,"WHATCHUTALKINBOUT",NA,5,"track","spotify:track:5pY66RyREZHbqP7zz9dxVU","https://open.spotify.com/track/5pY66RyREZHbqP7zz9dxVU","WE ARE","C#","minor","C# minor","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.56,0.404,6,-12.532,1,0.263,0.7,5.09e-05,0.163,0.562,147.784,"2ov5nYZ5xLLrojFK5yqxmD","https://api.spotify.com/v1/audio-analysis/2ov5nYZ5xLLrojFK5yqxmD",4,1,266306,FALSE,"https://api.spotify.com/v1/tracks/2ov5nYZ5xLLrojFK5yqxmD",FALSE,"BOY HOOD",NA,6,"track","spotify:track:2ov5nYZ5xLLrojFK5yqxmD","https://open.spotify.com/track/2ov5nYZ5xLLrojFK5yqxmD","WE ARE","F#","major","F# major","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.37,0.379,3,-10.401,0,0.0384,0.958,0.83,0.11,0.263,97.485,"0EgZZGyuVP2AvhsBHJxuSz","https://api.spotify.com/v1/audio-analysis/0EgZZGyuVP2AvhsBHJxuSz",4,1,121675,FALSE,"https://api.spotify.com/v1/tracks/0EgZZGyuVP2AvhsBHJxuSz",FALSE,"MOVEMENT 11’",NA,7,"track","spotify:track:0EgZZGyuVP2AvhsBHJxuSz","https://open.spotify.com/track/0EgZZGyuVP2AvhsBHJxuSz","WE ARE","D#","minor","D# minor","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.85,0.322,2,-8.682,1,0.129,0.0853,0.6,0.0682,0.576,86.006,"4FblU56VwlVyJuvq4H6GRv","https://api.spotify.com/v1/audio-analysis/4FblU56VwlVyJuvq4H6GRv",4,1,221702,FALSE,"https://api.spotify.com/v1/tracks/4FblU56VwlVyJuvq4H6GRv",FALSE,"ADULTHOOD",NA,8,"track","spotify:track:4FblU56VwlVyJuvq4H6GRv","https://open.spotify.com/track/4FblU56VwlVyJuvq4H6GRv","WE ARE","D","major","D major","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.648,0.167,6,-14.181,0,0.826,0.205,0,0.408,0.803,156.472,"4zirwzTg9RJZp2IFUIJ1kE","https://api.spotify.com/v1/audio-analysis/4zirwzTg9RJZp2IFUIJ1kE",5,1,20250,FALSE,"https://api.spotify.com/v1/tracks/4zirwzTg9RJZp2IFUIJ1kE",FALSE,"MAVIS",NA,9,"track","spotify:track:4zirwzTg9RJZp2IFUIJ1kE","https://open.spotify.com/track/4zirwzTg9RJZp2IFUIJ1kE","WE ARE","F#","minor","F# minor","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.873,0.651,1,-4.179,1,0.0374,0.0251,0.000107,0.213,0.828,115.002,"2QOB5UiRKggr2j9uMD3GYK","https://api.spotify.com/v1/audio-analysis/2QOB5UiRKggr2j9uMD3GYK",4,1,178289,FALSE,"https://api.spotify.com/v1/tracks/2QOB5UiRKggr2j9uMD3GYK",FALSE,"FREEDOM",NA,10,"track","spotify:track:2QOB5UiRKggr2j9uMD3GYK","https://open.spotify.com/track/2QOB5UiRKggr2j9uMD3GYK","WE ARE","C#","major","C# major","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.581,0.869,10,-5.121,1,0.0834,0.0322,0.0443,0.121,0.741,159.984,"30Naxz6cEyiqGcv5MSVnuY","https://api.spotify.com/v1/audio-analysis/30Naxz6cEyiqGcv5MSVnuY",4,1,220299,FALSE,"https://api.spotify.com/v1/tracks/30Naxz6cEyiqGcv5MSVnuY",FALSE,"SHOW ME THE WAY",NA,11,"track","spotify:track:30Naxz6cEyiqGcv5MSVnuY","https://open.spotify.com/track/30Naxz6cEyiqGcv5MSVnuY","WE ARE","A#","major","A# major","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.701,0.499,8,-9.48,1,0.0468,0.229,0.00168,0.105,0.394,89.979,"3kFmUPhWXmprYMSCxOtR2u","https://api.spotify.com/v1/audio-analysis/3kFmUPhWXmprYMSCxOtR2u",4,1,187186,FALSE,"https://api.spotify.com/v1/tracks/3kFmUPhWXmprYMSCxOtR2u",FALSE,"SING",NA,12,"track","spotify:track:3kFmUPhWXmprYMSCxOtR2u","https://open.spotify.com/track/3kFmUPhWXmprYMSCxOtR2u","WE ARE","G#","major","G# major","jazz"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","6kHFkPvL2X3rZPuS3CEMUE","album","2021-03-19",2021,"day",0.54,0.515,3,-14.331,1,0.181,0.836,0.153,0.127,0.0668,110.767,"0kNCm9nUZQQoSDY3i1OyRp","https://api.spotify.com/v1/audio-analysis/0kNCm9nUZQQoSDY3i1OyRp",4,1,63870,FALSE,"https://api.spotify.com/v1/tracks/0kNCm9nUZQQoSDY3i1OyRp",FALSE,"UNTIL",NA,13,"track","spotify:track:0kNCm9nUZQQoSDY3i1OyRp","https://open.spotify.com/track/0kNCm9nUZQQoSDY3i1OyRp","WE ARE","D#","major","D# major","jazz"
