"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.397,0.696,7,-11.755,1,0.101,0.836,0.655,0.119,0.65,172.116,"1EbE9CRUfGY6ajsaZSwN9B","https://api.spotify.com/v1/audio-analysis/1EbE9CRUfGY6ajsaZSwN9B",4,1,217962,FALSE,"https://api.spotify.com/v1/tracks/1EbE9CRUfGY6ajsaZSwN9B",FALSE,"Fly Like An Eagle - Live","https://p.scdn.co/mp3-preview/f899dc5bd71aae0b4371a9447c849795cbc6974a?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:1EbE9CRUfGY6ajsaZSwN9B","https://open.spotify.com/track/1EbE9CRUfGY6ajsaZSwN9B","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","G","major","G major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.507,0.737,4,-11.509,1,0.0507,0.906,0.847,0.431,0.702,91.857,"7eGywnNU5Ew4WN5iqWI36D","https://api.spotify.com/v1/audio-analysis/7eGywnNU5Ew4WN5iqWI36D",4,1,223753,FALSE,"https://api.spotify.com/v1/tracks/7eGywnNU5Ew4WN5iqWI36D",FALSE,"Ain't That Just Like A Woman - Live","https://p.scdn.co/mp3-preview/0813b7fac7382664e9869560e16755339ffe15eb?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:7eGywnNU5Ew4WN5iqWI36D","https://open.spotify.com/track/7eGywnNU5Ew4WN5iqWI36D","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","E","major","E major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.618,0.65,7,-11.435,1,0.0927,0.809,0.156,0.172,0.964,143.919,"5uFjiFyJ2Np3TSvAvGBM91","https://api.spotify.com/v1/audio-analysis/5uFjiFyJ2Np3TSvAvGBM91",4,1,186246,FALSE,"https://api.spotify.com/v1/tracks/5uFjiFyJ2Np3TSvAvGBM91",FALSE,"Mary Lou - Live","https://p.scdn.co/mp3-preview/8d4c21164372b83de570e9f72d965c4014748806?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:5uFjiFyJ2Np3TSvAvGBM91","https://open.spotify.com/track/5uFjiFyJ2Np3TSvAvGBM91","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","G","major","G major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.516,0.129,6,-21.733,1,0.0717,0.975,0.611,0.0995,0.316,147.295,"6RXMZG52kuQcrR5gLCcbPk","https://api.spotify.com/v1/audio-analysis/6RXMZG52kuQcrR5gLCcbPk",3,1,377034,FALSE,"https://api.spotify.com/v1/tracks/6RXMZG52kuQcrR5gLCcbPk",FALSE,"Blues Without Blame - Live","https://p.scdn.co/mp3-preview/58d2057c6be819b76a7bbe7bcd73aba8f312618a?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:6RXMZG52kuQcrR5gLCcbPk","https://open.spotify.com/track/6RXMZG52kuQcrR5gLCcbPk","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","F#","major","F# major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.392,0.695,7,-10.646,1,0.242,0.718,0.645,0.131,0.742,160.796,"1kj6iyPu1ItkVsovuCjJB9","https://api.spotify.com/v1/audio-analysis/1kj6iyPu1ItkVsovuCjJB9",4,1,360911,FALSE,"https://api.spotify.com/v1/tracks/1kj6iyPu1ItkVsovuCjJB9",FALSE,"Living In The USA - Live","https://p.scdn.co/mp3-preview/6b2168f79e377968b693be4224a89c0406a522a7?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:1kj6iyPu1ItkVsovuCjJB9","https://open.spotify.com/track/1kj6iyPu1ItkVsovuCjJB9","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","G","major","G major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.587,0.607,9,-11.992,1,0.073,0.756,0.765,0.128,0.664,95.378,"5iwBflfpTdGGdjzITIZfRH","https://api.spotify.com/v1/audio-analysis/5iwBflfpTdGGdjzITIZfRH",4,1,415563,FALSE,"https://api.spotify.com/v1/tracks/5iwBflfpTdGGdjzITIZfRH",FALSE,"Shu Ba Da Du Ma Ma Ma - Live","https://p.scdn.co/mp3-preview/af1ed9aea6b58cdca9eb5aae8ebf2becf7ff303e?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:5iwBflfpTdGGdjzITIZfRH","https://open.spotify.com/track/5iwBflfpTdGGdjzITIZfRH","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","A","major","A major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.379,0.737,2,-11.104,1,0.129,0.628,0.783,0.129,0.621,128.271,"1IJJCCIQx6ci8nQ06BSGIZ","https://api.spotify.com/v1/audio-analysis/1IJJCCIQx6ci8nQ06BSGIZ",4,1,119143,FALSE,"https://api.spotify.com/v1/tracks/1IJJCCIQx6ci8nQ06BSGIZ",FALSE,"Look On Yonder Wall - Live","https://p.scdn.co/mp3-preview/1625f64d037f16fb44470c6a880fbfa5a04d3084?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:1IJJCCIQx6ci8nQ06BSGIZ","https://open.spotify.com/track/1IJJCCIQx6ci8nQ06BSGIZ","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","D","major","D major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.425,0.52,9,-11.981,1,0.202,0.912,0.0945,0.263,0.687,174.674,"4UZSCXr1eh4b4lJZCheMFw","https://api.spotify.com/v1/audio-analysis/4UZSCXr1eh4b4lJZCheMFw",4,1,247331,FALSE,"https://api.spotify.com/v1/tracks/4UZSCXr1eh4b4lJZCheMFw",FALSE,"Gangster Of Love - Live","https://p.scdn.co/mp3-preview/ba9cae5d56209b6275a39c81e8dde13fe63eba49?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:4UZSCXr1eh4b4lJZCheMFw","https://open.spotify.com/track/4UZSCXr1eh4b4lJZCheMFw","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","A","major","A major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.424,0.76,0,-10.445,1,0.0699,0.517,0.699,0.203,0.767,134.291,"3fyHNaqQxu5FT6u9Z5gU1V","https://api.spotify.com/v1/audio-analysis/3fyHNaqQxu5FT6u9Z5gU1V",4,1,218757,FALSE,"https://api.spotify.com/v1/tracks/3fyHNaqQxu5FT6u9Z5gU1V",FALSE,"Space Cowboy - Live","https://p.scdn.co/mp3-preview/43585b661fd5768fdd0933b6ee66c550d5127176?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:3fyHNaqQxu5FT6u9Z5gU1V","https://open.spotify.com/track/3fyHNaqQxu5FT6u9Z5gU1V","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","C","major","C major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.351,0.48,6,-8.227,1,0.0331,0.62,0.171,0.102,0.685,81.45,"5LVzkVdltfBXHCGGbKkkWU","https://api.spotify.com/v1/audio-analysis/5LVzkVdltfBXHCGGbKkkWU",4,1,261562,FALSE,"https://api.spotify.com/v1/tracks/5LVzkVdltfBXHCGGbKkkWU",FALSE,"Kow Kow Calculator - Live","https://p.scdn.co/mp3-preview/8d5f0cfa510ce1a464fbed8aea3090d8268585f4?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:5LVzkVdltfBXHCGGbKkkWU","https://open.spotify.com/track/5LVzkVdltfBXHCGGbKkkWU","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","F#","major","F# major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.399,0.449,1,-10.25,1,0.039,0.829,0.74,0.131,0.52,80.942,"1mCuKgoWzLMAjdFUocXcw1","https://api.spotify.com/v1/audio-analysis/1mCuKgoWzLMAjdFUocXcw1",4,1,137555,FALSE,"https://api.spotify.com/v1/tracks/1mCuKgoWzLMAjdFUocXcw1",FALSE,"The Joker - Live","https://p.scdn.co/mp3-preview/d1595d0d8b1cfc14d9a063c75e23c548baef2a04?cid=c22575ce003a46ba95e4590c10b3acb1",11,"track","spotify:track:1mCuKgoWzLMAjdFUocXcw1","https://open.spotify.com/track/1mCuKgoWzLMAjdFUocXcw1","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","C#","major","C# major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.337,0.305,1,-11.859,1,0.0277,0.943,0.0263,0.145,0.37,95.643,"6XBmnej0weloScMKIAuO5F","https://api.spotify.com/v1/audio-analysis/6XBmnej0weloScMKIAuO5F",4,1,161153,FALSE,"https://api.spotify.com/v1/tracks/6XBmnej0weloScMKIAuO5F",FALSE,"Seasons - Live","https://p.scdn.co/mp3-preview/04fff1d6ba3422845324c0863da055c6feff4ada?cid=c22575ce003a46ba95e4590c10b3acb1",12,"track","spotify:track:6XBmnej0weloScMKIAuO5F","https://open.spotify.com/track/6XBmnej0weloScMKIAuO5F","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","C#","major","C# major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.366,0.549,1,-9.384,1,0.0365,0.808,0.708,0.159,0.817,88.602,"0aSJnVB5pfeLXp69DYi1Aa","https://api.spotify.com/v1/audio-analysis/0aSJnVB5pfeLXp69DYi1Aa",4,1,120619,FALSE,"https://api.spotify.com/v1/tracks/0aSJnVB5pfeLXp69DYi1Aa",FALSE,"Going To The Country - Live","https://p.scdn.co/mp3-preview/eaf39bab86df94e3b02414db61175cf0f5d977fa?cid=c22575ce003a46ba95e4590c10b3acb1",13,"track","spotify:track:0aSJnVB5pfeLXp69DYi1Aa","https://open.spotify.com/track/0aSJnVB5pfeLXp69DYi1Aa","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","C#","major","C# major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.377,0.542,2,-12.001,1,0.0856,0.852,0.912,0.118,0.44,130.34,"7GzotOcZm8FMtrTzeA4HcE","https://api.spotify.com/v1/audio-analysis/7GzotOcZm8FMtrTzeA4HcE",4,1,245818,FALSE,"https://api.spotify.com/v1/tracks/7GzotOcZm8FMtrTzeA4HcE",FALSE,"Jackson-Kent Blues - Live","https://p.scdn.co/mp3-preview/3649abc6534c1c7d046b3a0d94f034c4f6bf3a35?cid=c22575ce003a46ba95e4590c10b3acb1",14,"track","spotify:track:7GzotOcZm8FMtrTzeA4HcE","https://open.spotify.com/track/7GzotOcZm8FMtrTzeA4HcE","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","D","major","D major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","4L4q4GQ7FBMstAxEPTtir5","album","2020-08-28",2020,"day",0.433,0.748,2,-10.622,1,0.165,0.758,0.542,0.532,0.581,134.251,"0RgIWfqDXEYfdqwYhQJQff","https://api.spotify.com/v1/audio-analysis/0RgIWfqDXEYfdqwYhQJQff",4,1,303800,FALSE,"https://api.spotify.com/v1/tracks/0RgIWfqDXEYfdqwYhQJQff",FALSE,"Rock Me Baby - Live","https://p.scdn.co/mp3-preview/5ed9a7f7307621f33831cd4b3de7927517abc5cf?cid=c22575ce003a46ba95e4590c10b3acb1",15,"track","spotify:track:0RgIWfqDXEYfdqwYhQJQff","https://open.spotify.com/track/0RgIWfqDXEYfdqwYhQJQff","Away From The Ghetto (Record Plant, Sausalito, California 1973 KSAN Broadcast)","D","major","D major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.469,0.525,2,-6.712,1,0.0489,0.362,0.00105,0.802,0.182,141.406,"2guZ590sY1VYFEBxGYFald","https://api.spotify.com/v1/audio-analysis/2guZ590sY1VYFEBxGYFald",3,1,638413,FALSE,"https://api.spotify.com/v1/tracks/2guZ590sY1VYFEBxGYFald",FALSE,"Blues With A Feeling - Live",NA,1,"track","spotify:track:2guZ590sY1VYFEBxGYFald","https://open.spotify.com/track/2guZ590sY1VYFEBxGYFald","Welcome To The Vault","D","major","D major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.466,0.852,7,-6.049,0,0.0428,0.137,0.0154,0.851,0.935,138.899,"3UzPn1yEAgMcUTZjL7OQHt","https://api.spotify.com/v1/audio-analysis/3UzPn1yEAgMcUTZjL7OQHt",4,1,246480,FALSE,"https://api.spotify.com/v1/tracks/3UzPn1yEAgMcUTZjL7OQHt",FALSE,"Don’t Let Nobody Turn You Around - Alternate Version",NA,2,"track","spotify:track:3UzPn1yEAgMcUTZjL7OQHt","https://open.spotify.com/track/3UzPn1yEAgMcUTZjL7OQHt","Welcome To The Vault","G","minor","G minor","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.117,0.842,7,-4.925,1,0.0458,0.0151,0.841,0.96,0.49,171.006,"664ynYmWl8Qb9Y19rf9Ub0","https://api.spotify.com/v1/audio-analysis/664ynYmWl8Qb9Y19rf9Ub0",4,1,536853,FALSE,"https://api.spotify.com/v1/tracks/664ynYmWl8Qb9Y19rf9Ub0",FALSE,"Super Shuffle - Live",NA,3,"track","spotify:track:664ynYmWl8Qb9Y19rf9Ub0","https://open.spotify.com/track/664ynYmWl8Qb9Y19rf9Ub0","Welcome To The Vault","G","major","G major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.539,0.569,4,-6.345,1,0.0264,0.68,0.0085,0.685,0.542,147.26,"3k0nHXQLlpb9qyXdUKiIaL","https://api.spotify.com/v1/audio-analysis/3k0nHXQLlpb9qyXdUKiIaL",3,1,290546,FALSE,"https://api.spotify.com/v1/tracks/3k0nHXQLlpb9qyXdUKiIaL",FALSE,"It Hurts Me Too - Live",NA,4,"track","spotify:track:3k0nHXQLlpb9qyXdUKiIaL","https://open.spotify.com/track/3k0nHXQLlpb9qyXdUKiIaL","Welcome To The Vault","E","major","E major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.484,0.904,9,-5.323,1,0.0633,0.0275,9.83e-05,0.299,0.815,92.601,"2TuoBglV5poXaIoB6UZU9k","https://api.spotify.com/v1/audio-analysis/2TuoBglV5poXaIoB6UZU9k",4,1,292960,FALSE,"https://api.spotify.com/v1/tracks/2TuoBglV5poXaIoB6UZU9k",FALSE,"Industrial Military Complex Hex - Alternate Version",NA,5,"track","spotify:track:2TuoBglV5poXaIoB6UZU9k","https://open.spotify.com/track/2TuoBglV5poXaIoB6UZU9k","Welcome To The Vault","A","major","A major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.373,0.859,2,-6.375,1,0.217,0.018,1.8e-05,0.323,0.566,83.16,"7kruy1mJXdwSN5yctHFFQC","https://api.spotify.com/v1/audio-analysis/7kruy1mJXdwSN5yctHFFQC",4,1,243800,FALSE,"https://api.spotify.com/v1/tracks/7kruy1mJXdwSN5yctHFFQC",FALSE,"Living In The U.S.A.",NA,6,"track","spotify:track:7kruy1mJXdwSN5yctHFFQC","https://open.spotify.com/track/7kruy1mJXdwSN5yctHFFQC","Welcome To The Vault","D","major","D major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.202,0.544,6,-7.704,1,0.0315,0.00453,0.149,0.158,0.734,79.548,"7gPQrwK8SwO2HEAHcQBgV5","https://api.spotify.com/v1/audio-analysis/7gPQrwK8SwO2HEAHcQBgV5",4,1,244840,FALSE,"https://api.spotify.com/v1/tracks/7gPQrwK8SwO2HEAHcQBgV5",FALSE,"Kow Kow Calculator - Alternate Version",NA,7,"track","spotify:track:7gPQrwK8SwO2HEAHcQBgV5","https://open.spotify.com/track/7gPQrwK8SwO2HEAHcQBgV5","Welcome To The Vault","F#","major","F# major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.546,0.627,9,-4.808,1,0.0327,0.529,0.00754,0.133,0.754,133.16,"0jykBbSXW1SPZF6T5jsiYs","https://api.spotify.com/v1/audio-analysis/0jykBbSXW1SPZF6T5jsiYs",4,1,173280,FALSE,"https://api.spotify.com/v1/tracks/0jykBbSXW1SPZF6T5jsiYs",FALSE,"Going To Mexico - Alternate Version",NA,8,"track","spotify:track:0jykBbSXW1SPZF6T5jsiYs","https://open.spotify.com/track/0jykBbSXW1SPZF6T5jsiYs","Welcome To The Vault","A","major","A major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.381,0.526,2,-10.044,1,0.0349,0.0899,0.000832,0.168,0.117,98.564,"1p0BRUnbz320fyI4UBuQ2D","https://api.spotify.com/v1/audio-analysis/1p0BRUnbz320fyI4UBuQ2D",4,1,168080,FALSE,"https://api.spotify.com/v1/tracks/1p0BRUnbz320fyI4UBuQ2D",FALSE,"Quicksilver Girl - Alternate Version",NA,9,"track","spotify:track:1p0BRUnbz320fyI4UBuQ2D","https://open.spotify.com/track/1p0BRUnbz320fyI4UBuQ2D","Welcome To The Vault","D","major","D major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.423,0.638,9,-8.417,0,0.0372,0.416,0.0328,0.186,0.187,132.828,"5xxrqDHRemNCZplFxuocoY","https://api.spotify.com/v1/audio-analysis/5xxrqDHRemNCZplFxuocoY",4,1,510160,FALSE,"https://api.spotify.com/v1/tracks/5xxrqDHRemNCZplFxuocoY",FALSE,"Jackson-Kent Blues - Alternate Version",NA,10,"track","spotify:track:5xxrqDHRemNCZplFxuocoY","https://open.spotify.com/track/5xxrqDHRemNCZplFxuocoY","Welcome To The Vault","A","minor","A minor","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.279,0.967,2,-6.935,1,0.0965,0.00456,0.633,0.847,0.838,135.135,"2VWF2v86LVZSmuqVZYKZre","https://api.spotify.com/v1/audio-analysis/2VWF2v86LVZSmuqVZYKZre",4,1,439240,FALSE,"https://api.spotify.com/v1/tracks/2VWF2v86LVZSmuqVZYKZre",FALSE,"Crossroads - Live",NA,11,"track","spotify:track:2VWF2v86LVZSmuqVZYKZre","https://open.spotify.com/track/2VWF2v86LVZSmuqVZYKZre","Welcome To The Vault","D","major","D major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.375,0.247,0,-10.468,1,0.0327,0.895,0.00278,0.143,0.373,68.769,"5nsEqhpJzdqM0rUqEPjcId","https://api.spotify.com/v1/audio-analysis/5nsEqhpJzdqM0rUqEPjcId",4,1,114746,FALSE,"https://api.spotify.com/v1/tracks/5nsEqhpJzdqM0rUqEPjcId",FALSE,"Hesitation Blues",NA,12,"track","spotify:track:5nsEqhpJzdqM0rUqEPjcId","https://open.spotify.com/track/5nsEqhpJzdqM0rUqEPjcId","Welcome To The Vault","C","major","C major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.349,0.514,1,-6.388,1,0.0259,0.572,0.000267,0.13,0.357,95.897,"7dBr3FRkgfbifoZTffzIol","https://api.spotify.com/v1/audio-analysis/7dBr3FRkgfbifoZTffzIol",4,1,162866,FALSE,"https://api.spotify.com/v1/tracks/7dBr3FRkgfbifoZTffzIol",FALSE,"Seasons - Alternate Version",NA,13,"track","spotify:track:7dBr3FRkgfbifoZTffzIol","https://open.spotify.com/track/7dBr3FRkgfbifoZTffzIol","Welcome To The Vault","C#","major","C# major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.505,0.603,5,-9.371,0,0.0523,0.0574,0,0.136,0.701,87.512,"4bYjVTGupTy8HImKmYrIoZ","https://api.spotify.com/v1/audio-analysis/4bYjVTGupTy8HImKmYrIoZ",4,1,265266,FALSE,"https://api.spotify.com/v1/tracks/4bYjVTGupTy8HImKmYrIoZ",FALSE,"Say Wow!",NA,14,"track","spotify:track:4bYjVTGupTy8HImKmYrIoZ","https://open.spotify.com/track/4bYjVTGupTy8HImKmYrIoZ","Welcome To The Vault","F","minor","F minor","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.392,0.492,5,-7.879,1,0.0346,0.486,0,0.404,0.235,79.146,"0d8Mm79DsVEhUJ6a1WydK1","https://api.spotify.com/v1/audio-analysis/0d8Mm79DsVEhUJ6a1WydK1",4,1,125533,FALSE,"https://api.spotify.com/v1/tracks/0d8Mm79DsVEhUJ6a1WydK1",FALSE,"Never Kill Another Man - Live / Alternate Version",NA,15,"track","spotify:track:0d8Mm79DsVEhUJ6a1WydK1","https://open.spotify.com/track/0d8Mm79DsVEhUJ6a1WydK1","Welcome To The Vault","F","major","F major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.463,0.951,5,-3.469,1,0.093,0.135,2.99e-06,0.987,0.668,82.96,"2u8FKyaP8tPetE7s7RRd0l","https://api.spotify.com/v1/audio-analysis/2u8FKyaP8tPetE7s7RRd0l",4,2,148813,FALSE,"https://api.spotify.com/v1/tracks/2u8FKyaP8tPetE7s7RRd0l",FALSE,"The Gangster Is Back - Live",NA,1,"track","spotify:track:2u8FKyaP8tPetE7s7RRd0l","https://open.spotify.com/track/2u8FKyaP8tPetE7s7RRd0l","Welcome To The Vault","F","major","F major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.516,0.683,5,-5.394,1,0.052,0.0675,0.864,0.391,0.496,126.291,"1pId0FhtrXkfVMkqTzNZtO","https://api.spotify.com/v1/audio-analysis/1pId0FhtrXkfVMkqTzNZtO",4,2,79320,FALSE,"https://api.spotify.com/v1/tracks/1pId0FhtrXkfVMkqTzNZtO",FALSE,"Space Cowboy - Instrumental Version",NA,2,"track","spotify:track:1pId0FhtrXkfVMkqTzNZtO","https://open.spotify.com/track/1pId0FhtrXkfVMkqTzNZtO","Welcome To The Vault","F","major","F major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.421,0.752,0,-5.116,1,0.0392,0.358,0.000183,0.889,0.831,133.655,"0Mm2U5ASnG8qgGh6OLG089","https://api.spotify.com/v1/audio-analysis/0Mm2U5ASnG8qgGh6OLG089",4,2,218720,FALSE,"https://api.spotify.com/v1/tracks/0Mm2U5ASnG8qgGh6OLG089",FALSE,"Space Cowboy - Live / Alternate Version",NA,3,"track","spotify:track:0Mm2U5ASnG8qgGh6OLG089","https://open.spotify.com/track/0Mm2U5ASnG8qgGh6OLG089","Welcome To The Vault","C","major","C major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.404,0.49,10,-7.538,1,0.0459,0.277,4.15e-06,0.172,0.821,166.452,"6HVvFMHrnTYzJEgW2EIth8","https://api.spotify.com/v1/audio-analysis/6HVvFMHrnTYzJEgW2EIth8",4,2,264080,FALSE,"https://api.spotify.com/v1/tracks/6HVvFMHrnTYzJEgW2EIth8",FALSE,"The Joker",NA,4,"track","spotify:track:6HVvFMHrnTYzJEgW2EIth8","https://open.spotify.com/track/6HVvFMHrnTYzJEgW2EIth8","Welcome To The Vault","A#","major","A# major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.587,0.714,9,-4.855,1,0.0319,0.338,0.000498,0.106,0.739,135.715,"2eAJPV4BtuKlW2JF1fkxuy","https://api.spotify.com/v1/audio-analysis/2eAJPV4BtuKlW2JF1fkxuy",4,2,130479,FALSE,"https://api.spotify.com/v1/tracks/2eAJPV4BtuKlW2JF1fkxuy",FALSE,"The Lovin' Cup",NA,5,"track","spotify:track:2eAJPV4BtuKlW2JF1fkxuy","https://open.spotify.com/track/2eAJPV4BtuKlW2JF1fkxuy","Welcome To The Vault","A","major","A major","folk"
"Steve Miller Band","6QtGlUje9TIkLrgPZrESuk","7i36DC6cqbbOTH9S2XktgN","album","2019-10-11",2019,"day",0.738,0.832,2,-4.983,1,0.0343,0.219,0.364,0.26,0.696,139.086,"630w8AdrM7L35Af8aYgY60","https://api.spotify.com/v1/audio-analysis/630w8AdrM7L35Af8aYgY60",4,2,184400,FALSE,"https://api.spotify.com/v1/tracks/630w8AdrM7L35Af8aYgY60",FALSE,"Killing Floor",NA,6,"track","spotify:track:630w8AdrM7L35Af8aYgY60","https://open.spotify.com/track/630w8AdrM7L35Af8aYgY60","Welcome To The Vault","D","major","D major","folk"
