"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.374,0.152,2,-16.044,0,0.0393,0.936,0.12,0.115,0.143,72.738,"1gsaHd8cvQL5M58xgP2X50","https://api.spotify.com/v1/audio-analysis/1gsaHd8cvQL5M58xgP2X50",3,1,161626,FALSE,"https://api.spotify.com/v1/tracks/1gsaHd8cvQL5M58xgP2X50",FALSE,"<U+30CD><U+30A4><U+30C1><U+30E3><U+30FC>·<U+30DC><U+30FC><U+30A4>","https://p.scdn.co/mp3-preview/8e28d220f277cb2ad6315a1dbe582b8cf1aef8be?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:1gsaHd8cvQL5M58xgP2X50","https://open.spotify.com/track/1gsaHd8cvQL5M58xgP2X50","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","D","minor","D minor","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.521,0.064,1,-20.794,1,0.0385,0.99,0.124,0.148,0.391,74.56,"5AsqXIee7fs7j3Ja3aIHfw","https://api.spotify.com/v1/audio-analysis/5AsqXIee7fs7j3Ja3aIHfw",3,1,175440,FALSE,"https://api.spotify.com/v1/tracks/5AsqXIee7fs7j3Ja3aIHfw",FALSE,"<U+30BB><U+30F3><U+30C1><U+30E1><U+30F3><U+30BF><U+30EB>·<U+30EA><U+30FC><U+30BA><U+30F3><U+30BA>","https://p.scdn.co/mp3-preview/07ed4c2920df53bcf35b2b103ba93f7a78d0d8a7?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:5AsqXIee7fs7j3Ja3aIHfw","https://open.spotify.com/track/5AsqXIee7fs7j3Ja3aIHfw","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","C#","major","C# major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.559,0.154,0,-14.482,1,0.0545,0.971,0.004,0.11,0.391,85.388,"5IbKTGxIBYxAA0rRFH3qxF","https://api.spotify.com/v1/audio-analysis/5IbKTGxIBYxAA0rRFH3qxF",4,1,192733,FALSE,"https://api.spotify.com/v1/tracks/5IbKTGxIBYxAA0rRFH3qxF",FALSE,"<U+30B9><U+30A4><U+30FC><U+30C8>·<U+30ED><U+30EC><U+30A4><U+30F3>","https://p.scdn.co/mp3-preview/88db3e792f7c352011e40a31318109c5afb07444?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:5IbKTGxIBYxAA0rRFH3qxF","https://open.spotify.com/track/5IbKTGxIBYxAA0rRFH3qxF","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","C","major","C major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.588,0.109,3,-17.724,1,0.0507,0.985,0.22,0.108,0.309,79.599,"20DfSXokdy1I1c0PPbibvH","https://api.spotify.com/v1/audio-analysis/20DfSXokdy1I1c0PPbibvH",4,1,206666,FALSE,"https://api.spotify.com/v1/tracks/20DfSXokdy1I1c0PPbibvH",FALSE,"<U+30A8><U+30F3><U+30D6><U+30EC><U+30A4><U+30B5><U+30D6><U+30EB>·<U+30E6><U+30FC>","https://p.scdn.co/mp3-preview/d0ec78ead77c693e44064c03f9eb61261dd0246d?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:20DfSXokdy1I1c0PPbibvH","https://open.spotify.com/track/20DfSXokdy1I1c0PPbibvH","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","D#","major","D# major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.548,0.217,5,-13.411,1,0.0551,0.985,0.903,0.0713,0.664,177.178,"49DROFyVm71teKCV5E8FTA","https://api.spotify.com/v1/audio-analysis/49DROFyVm71teKCV5E8FTA",4,1,183226,FALSE,"https://api.spotify.com/v1/tracks/49DROFyVm71teKCV5E8FTA",FALSE,"<U+604B><U+3068><U+306F><U+4F55><U+3067><U+3057><U+3087><U+3046>","https://p.scdn.co/mp3-preview/b6fa77c427e1c685eef67b802a741cb9bad82cf6?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:49DROFyVm71teKCV5E8FTA","https://open.spotify.com/track/49DROFyVm71teKCV5E8FTA","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","F","major","F major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.671,0.208,5,-12.281,0,0.063,0.946,1.69e-05,0.118,0.601,144.038,"2q41esJR8Wmw9rulLdFLxv","https://api.spotify.com/v1/audio-analysis/2q41esJR8Wmw9rulLdFLxv",4,1,179306,FALSE,"https://api.spotify.com/v1/tracks/2q41esJR8Wmw9rulLdFLxv",FALSE,"<U+30A4><U+30C3><U+30C4>·<U+30AA><U+30F3><U+30EA><U+30FC><U+30A2>·<U+30DA><U+30A4><U+30D1><U+30FC>·<U+30E0><U+30FC><U+30F3>","https://p.scdn.co/mp3-preview/7e6aeec49dc3601c356048a07a891ef7a29b1e79?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:2q41esJR8Wmw9rulLdFLxv","https://open.spotify.com/track/2q41esJR8Wmw9rulLdFLxv","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","F","minor","F minor","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.495,0.11,1,-18.609,1,0.0557,0.995,0.845,0.102,0.298,74.124,"6mrBVp83LvjEOPaYBYbAkA","https://api.spotify.com/v1/audio-analysis/6mrBVp83LvjEOPaYBYbAkA",4,1,175560,FALSE,"https://api.spotify.com/v1/tracks/6mrBVp83LvjEOPaYBYbAkA",FALSE,"<U+7159><U+304C><U+773C><U+306B><U+3057><U+307F><U+308B>","https://p.scdn.co/mp3-preview/4af2c2ae74251056eb84e06f0551fbd93c6dd692?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:6mrBVp83LvjEOPaYBYbAkA","https://open.spotify.com/track/6mrBVp83LvjEOPaYBYbAkA","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","C#","major","C# major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.551,0.188,10,-15.923,0,0.0474,0.992,0.85,0.162,0.249,78.188,"3lHtcmkV9oT0t1L8EX8P29","https://api.spotify.com/v1/audio-analysis/3lHtcmkV9oT0t1L8EX8P29",4,1,205106,FALSE,"https://api.spotify.com/v1/tracks/3lHtcmkV9oT0t1L8EX8P29",FALSE,"<U+30DC><U+30C7><U+30A3>·<U+30A2><U+30F3><U+30C9>·<U+30BD><U+30A6><U+30EB>","https://p.scdn.co/mp3-preview/f9eed453839790ae8c1bbfb10339a90953af1258?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:3lHtcmkV9oT0t1L8EX8P29","https://open.spotify.com/track/3lHtcmkV9oT0t1L8EX8P29","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","A#","minor","A# minor","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.497,0.104,8,-16.159,1,0.0355,0.975,4.66e-05,0.117,0.189,112.505,"2eY4W7XjwdfgaVcph9hwGW","https://api.spotify.com/v1/audio-analysis/2eY4W7XjwdfgaVcph9hwGW",4,1,186493,FALSE,"https://api.spotify.com/v1/tracks/2eY4W7XjwdfgaVcph9hwGW",FALSE,"<U+30A4><U+30D5>·<U+30A2><U+30A4>·<U+30CF><U+30C3><U+30C9>·<U+30E6><U+30FC>","https://p.scdn.co/mp3-preview/792a3b008df4d4abb9d01fefb131433bcbe1a15d?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:2eY4W7XjwdfgaVcph9hwGW","https://open.spotify.com/track/2eY4W7XjwdfgaVcph9hwGW","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","G#","major","G# major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.543,0.0757,1,-17.865,1,0.0413,0.947,0.000584,0.104,0.191,69.9,"32uRYfgzIbIukGfZ8003Dk","https://api.spotify.com/v1/audio-analysis/32uRYfgzIbIukGfZ8003Dk",4,1,195440,FALSE,"https://api.spotify.com/v1/tracks/32uRYfgzIbIukGfZ8003Dk",FALSE,"<U+30A2><U+30A4><U+30EB>·<U+30B9><U+30C8><U+30EA><U+30F3><U+30B0>·<U+30A2><U+30ED><U+30F3><U+30B0>·<U+30A6><U+30A3><U+30BA>·<U+30E6><U+30FC>","https://p.scdn.co/mp3-preview/b432de43a7c3730406a30a4e33023251187b343b?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:32uRYfgzIbIukGfZ8003Dk","https://open.spotify.com/track/32uRYfgzIbIukGfZ8003Dk","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","C#","major","C# major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.704,0.172,5,-14.746,1,0.0425,0.966,0.00012,0.104,0.384,108.003,"0WUj6yfVNI039f7SJn67PK","https://api.spotify.com/v1/audio-analysis/0WUj6yfVNI039f7SJn67PK",4,1,157533,FALSE,"https://api.spotify.com/v1/tracks/0WUj6yfVNI039f7SJn67PK",FALSE,"<U+30DB><U+30EF><U+30C3><U+30C8>·<U+30AD><U+30E3><U+30F3>·<U+30A2><U+30A4>·<U+30BB><U+30A4>","https://p.scdn.co/mp3-preview/2db5d66aca741c4449ad5e3803324b891691717c?cid=c22575ce003a46ba95e4590c10b3acb1",11,"track","spotify:track:0WUj6yfVNI039f7SJn67PK","https://open.spotify.com/track/0WUj6yfVNI039f7SJn67PK","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","F","major","F major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.508,0.177,1,-16.082,1,0.0539,0.993,0.865,0.195,0.397,76.795,"3iNwMZGJWcCf0EKInfjDtW","https://api.spotify.com/v1/audio-analysis/3iNwMZGJWcCf0EKInfjDtW",4,1,206200,FALSE,"https://api.spotify.com/v1/tracks/3iNwMZGJWcCf0EKInfjDtW",FALSE,"<U+30B6>·<U+30DE><U+30F3>·<U+30A2><U+30A4>·<U+30E9><U+30D6>","https://p.scdn.co/mp3-preview/a0d34af90c225950c8c28c8a5179c6e9184b1cc2?cid=c22575ce003a46ba95e4590c10b3acb1",12,"track","spotify:track:3iNwMZGJWcCf0EKInfjDtW","https://open.spotify.com/track/3iNwMZGJWcCf0EKInfjDtW","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","C#","major","C# major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.696,0.154,2,-15.116,0,0.0422,0.964,0.00159,0.124,0.538,136.912,"4wOWDOa3aOZhozksIqSIqX","https://api.spotify.com/v1/audio-analysis/4wOWDOa3aOZhozksIqSIqX",4,1,156760,FALSE,"https://api.spotify.com/v1/tracks/4wOWDOa3aOZhozksIqSIqX",FALSE,"<U+53E3><U+306B><U+8A00><U+3048><U+306A><U+3044><U+3059><U+3070><U+3089><U+3057><U+3055>","https://p.scdn.co/mp3-preview/0c18aca4c7b0bf4f28aede44fa2dc611fa87a814?cid=c22575ce003a46ba95e4590c10b3acb1",13,"track","spotify:track:4wOWDOa3aOZhozksIqSIqX","https://open.spotify.com/track/4wOWDOa3aOZhozksIqSIqX","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","D","minor","D minor","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","5io3S7VYIvgcTXyPymEL7z","album","2020-11-10",2020,"day",0.618,0.212,5,-14.562,1,0.0618,0.976,0.895,0.111,0.532,70.434,"1AD614AlsqaO0nZZc3I7WP","https://api.spotify.com/v1/audio-analysis/1AD614AlsqaO0nZZc3I7WP",4,1,158000,FALSE,"https://api.spotify.com/v1/tracks/1AD614AlsqaO0nZZc3I7WP",FALSE,"<U+30CF><U+30CB><U+30FC><U+30B5><U+30C3><U+30AF><U+30EB>·<U+30ED><U+30FC><U+30BA>","https://p.scdn.co/mp3-preview/2a72d36bfd26fddb20479831461b972238f35459?cid=c22575ce003a46ba95e4590c10b3acb1",14,"track","spotify:track:1AD614AlsqaO0nZZc3I7WP","https://open.spotify.com/track/1AD614AlsqaO0nZZc3I7WP","<U+30D9><U+30B9><U+30C8>·<U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8>·<U+30B3><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>·<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","F","major","F major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.211,0.188,5,-16.562,1,0.0345,0.936,0.0261,0.151,0.11,89.576,"6on0sut8vHYEg5qNsna7yE","https://api.spotify.com/v1/audio-analysis/6on0sut8vHYEg5qNsna7yE",4,1,165400,FALSE,"https://api.spotify.com/v1/tracks/6on0sut8vHYEg5qNsna7yE",FALSE,"<U+30E9><U+30F4>·<U+30EC><U+30BF><U+30FC><U+30BA>","https://p.scdn.co/mp3-preview/f07e02cc76920841ef3c46ece333628cf28ea110?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:6on0sut8vHYEg5qNsna7yE","https://open.spotify.com/track/6on0sut8vHYEg5qNsna7yE","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","F","major","F major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.159,0.269,0,-10.367,1,0.0301,0.904,0,0.123,0.211,80.836,"5TS38wbWLID4BBauRyH9QC","https://api.spotify.com/v1/audio-analysis/5TS38wbWLID4BBauRyH9QC",1,1,161066,FALSE,"https://api.spotify.com/v1/tracks/5TS38wbWLID4BBauRyH9QC",FALSE,"<U+6155><U+60C5>","https://p.scdn.co/mp3-preview/6f6109a666935f63bb594f801c31fa2dc8c49be3?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:5TS38wbWLID4BBauRyH9QC","https://open.spotify.com/track/5TS38wbWLID4BBauRyH9QC","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","C","major","C major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.255,0.248,2,-12.074,0,0.0343,0.946,0.00146,0.234,0.0899,120.76,"06Yw8pT6AQMOlESKi01jGo","https://api.spotify.com/v1/audio-analysis/06Yw8pT6AQMOlESKi01jGo",4,1,161466,FALSE,"https://api.spotify.com/v1/tracks/06Yw8pT6AQMOlESKi01jGo",FALSE,"<U+67AF><U+8449>","https://p.scdn.co/mp3-preview/9680b00113b5ce880f13d188b463626551d8715d?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:06Yw8pT6AQMOlESKi01jGo","https://open.spotify.com/track/06Yw8pT6AQMOlESKi01jGo","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","D","minor","D minor","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.249,0.15,7,-20.646,1,0.0357,0.828,0.24,0.141,0.139,80.42,"3a2qlGQNH1APr35r1s5mEO","https://api.spotify.com/v1/audio-analysis/3a2qlGQNH1APr35r1s5mEO",4,1,196373,FALSE,"https://api.spotify.com/v1/tracks/3a2qlGQNH1APr35r1s5mEO",FALSE,"<U+30B9><U+30BF><U+30FC><U+30C0><U+30B9><U+30C8>","https://p.scdn.co/mp3-preview/06caa9061ba53b01e080b3945e8240cfe34c79cf?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:3a2qlGQNH1APr35r1s5mEO","https://open.spotify.com/track/3a2qlGQNH1APr35r1s5mEO","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","G","major","G major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.305,0.209,2,-15.59,1,0.0316,0.91,0,0.35,0.279,57.074,"4jrukZl8RWN42czhq3OvUr","https://api.spotify.com/v1/audio-analysis/4jrukZl8RWN42czhq3OvUr",5,1,175933,FALSE,"https://api.spotify.com/v1/tracks/4jrukZl8RWN42czhq3OvUr",FALSE,"<U+30A2><U+30F3><U+30B5><U+30FC>·<U+30DF><U+30FC>·<U+30DE><U+30A4>·<U+30E9><U+30F4>","https://p.scdn.co/mp3-preview/f13b6daf689f66788294e8b36977bf50e5670343?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4jrukZl8RWN42czhq3OvUr","https://open.spotify.com/track/4jrukZl8RWN42czhq3OvUr","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","D","major","D major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.42,0.211,7,-15.41,1,0.0398,0.789,0,0.13,0.455,108.332,"4LMGLhFzPkKnZ1Ta5rCmSZ","https://api.spotify.com/v1/audio-analysis/4LMGLhFzPkKnZ1Ta5rCmSZ",4,1,128133,FALSE,"https://api.spotify.com/v1/tracks/4LMGLhFzPkKnZ1Ta5rCmSZ",FALSE,"<U+30E2><U+30A2>","https://p.scdn.co/mp3-preview/ce6bfa1181ad19d6815e001ec0e8c258cb404b6c?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:4LMGLhFzPkKnZ1Ta5rCmSZ","https://open.spotify.com/track/4LMGLhFzPkKnZ1Ta5rCmSZ","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","G","major","G major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.412,0.277,2,-14.546,1,0.0304,0.934,1.28e-05,0.353,0.504,79.836,"5hRWIEKSxYW0wjEfFsEIoA","https://api.spotify.com/v1/audio-analysis/5hRWIEKSxYW0wjEfFsEIoA",3,1,147493,FALSE,"https://api.spotify.com/v1/tracks/5hRWIEKSxYW0wjEfFsEIoA",FALSE,"<U+6D6E><U+6C17><U+306F><U+3084><U+3081><U+306A><U+3088>","https://p.scdn.co/mp3-preview/c7621d0a1e7526e8baf416610ebb654496d46a40?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:5hRWIEKSxYW0wjEfFsEIoA","https://open.spotify.com/track/5hRWIEKSxYW0wjEfFsEIoA","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","D","major","D major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.168,0.254,1,-13.135,1,0.033,0.826,1.39e-06,0.125,0.316,168.489,"4PKD7z4Hecyw4D2PoyyCTI","https://api.spotify.com/v1/audio-analysis/4PKD7z4Hecyw4D2PoyyCTI",5,1,207733,FALSE,"https://api.spotify.com/v1/tracks/4PKD7z4Hecyw4D2PoyyCTI",FALSE,"<U+30E2><U+30CA>·<U+30EA><U+30B6>","https://p.scdn.co/mp3-preview/869db35830db2452e049c6ecbdcf520db81a12fd?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:4PKD7z4Hecyw4D2PoyyCTI","https://open.spotify.com/track/4PKD7z4Hecyw4D2PoyyCTI","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","C#","major","C# major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.277,0.195,8,-14.931,1,0.0291,0.915,0.000262,0.156,0.18,100.762,"4MxcrFBOjgCua3USZNNqLP","https://api.spotify.com/v1/audio-analysis/4MxcrFBOjgCua3USZNNqLP",4,1,206133,FALSE,"https://api.spotify.com/v1/tracks/4MxcrFBOjgCua3USZNNqLP",FALSE,"<U+30C8><U+30A5><U+30FC>·<U+30E4><U+30F3><U+30B0>","https://p.scdn.co/mp3-preview/924d64902981d7a47e0e1fe78d0bc4a540e1dee8?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:4MxcrFBOjgCua3USZNNqLP","https://open.spotify.com/track/4MxcrFBOjgCua3USZNNqLP","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","G#","major","G# major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.416,0.21,10,-16.828,1,0.0283,0.94,2.47e-06,0.325,0.297,97.366,"7iQOq94QhJ7AwPaUAMynuU","https://api.spotify.com/v1/audio-analysis/7iQOq94QhJ7AwPaUAMynuU",4,1,169533,FALSE,"https://api.spotify.com/v1/tracks/7iQOq94QhJ7AwPaUAMynuU",FALSE,"<U+30E9><U+30F3><U+30D6><U+30EA><U+30F3>·<U+30ED><U+30FC><U+30BA>","https://p.scdn.co/mp3-preview/84a58a781a5502eaed7b5fff349d8ab2379612db?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:7iQOq94QhJ7AwPaUAMynuU","https://open.spotify.com/track/7iQOq94QhJ7AwPaUAMynuU","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","A#","major","A# major","jazz"
"Nat King Cole","7v4imS0moSyGdXyLgVTIV7","7mrbwXOViVh7i1sCR1NeDd","album","2020-10-15",2020,"day",0.44,0.405,2,-13.913,0,0.0438,0.776,0,0.19,0.856,181.995,"4nFB5sqCdCDAgWqkdKVcai","https://api.spotify.com/v1/audio-analysis/4nFB5sqCdCDAgWqkdKVcai",4,1,145040,FALSE,"https://api.spotify.com/v1/tracks/4nFB5sqCdCDAgWqkdKVcai",FALSE,"<U+6691><U+3044><U+590F><U+3092><U+3075><U+3063><U+3068><U+3070><U+305B>","https://p.scdn.co/mp3-preview/0c03cb2b8bb8c0b556ddc05bfa275a1385739621?cid=c22575ce003a46ba95e4590c10b3acb1",11,"track","spotify:track:4nFB5sqCdCDAgWqkdKVcai","https://open.spotify.com/track/4nFB5sqCdCDAgWqkdKVcai","<U+30CA><U+30C3><U+30C8>·<U+30AD><U+30F3><U+30B0>·<U+30B3><U+30FC><U+30EB>","D","minor","D minor","jazz"
